Длина
L,MMT,Миллиметр,Millimeter,мм,mm,,"0,001",1
L,CMT,Сантиметр,Centimeter,см,cm,,"0,01"
L,DMT,Дециметр,Decimeter,дм,dm,,"0,1"
L,MTR,Метр,Meter,м,m,+,1
L,KMT,Километр,Kilometer,км,km,,1000
L,INH,Дюйм,Inch,дюйм,in,,"0,0254"," (25,4 мм)"
L,FOT,Фут,Ft,фут,ft,,"0,3048"," (0,3048 м)"
L,YRD,Ярд,Yard,ярд,yd,,"0,9144"," (0,9144 м)"
L,NMI,Морская миля,Knot,миля,n mile,,1852, (1852 м)
L,UNT,Юнит,Unit,юнит,U

Площадь
S,MMK,Квадратный миллиметр,Square millimeter,мм2,mm2,,"0,000001"
S,CMK,Квадратный сантиметр,Square centimeter,см2,cm2,,"0,0001"
S,DMK,Квадратный дециметр,Square decimeter,дм2,dm2,,"0,01"
S,MTK,Квадратный метр,Square meter,м2,m2,+,1
S,HAR,Гектар,Hectare,га,ha,,10000
S,KMK,Квадратный километр,Square kilometer,км2,km2,,1000000
S,INK,Квадратный дюйм,Square inch,дюйм2,in2,,"0,00064516"," (645,16 мм2)"
S,FTK,Квадратный фут,Square foot,фут2,Ft 2,,"0,092903"," (0,092903 м2)"
S,YDK,Квадратный ярд,Square yard,ярд2,yd2,,"0,8361274"," (0,8361274 м2)"
S,ARE,Ар,Are,а,а,,100,(100 м2)
S,SOT,Сотка,Sotka,сот,sot,,100

Объем
V,MMQ,Кубический миллиметр,Cubic millimeter,мм3,mm3,,0.0000000001
V,CMQ,Кубический сантиметр,Cubic centimeter,см3,cm3,,0.0000001
V,DMQ,Кубический дециметр,Cubic decimeter,дм3,dm3,,0.0001
V,MTQ,Кубический метр,Cubic meter,м3,m3,+,1
V,MLT,Миллилитр,Milliliter,мл,ml,,"0,000000001"
V,LTR,Литр,liter,л,l,,0.001
V,INQ,Кубический дюйм ,Cubic inch,дюйм3,in3,,16.387064x10-6,"(16387,1 мм3)"
V,FTQ,Кубический фут,Cubic foot,фут3,Ft 3,,0.028316846592," (0,02831685 м3)"
V,YDQ,Кубический ярд,Cubic yard,ярд3,yd3,,0.764554857984," (0,764555 м3)"


Масса
M,MGM,Миллиграмм,Milligram,мг,mg,,0.000001
M,GRM,Грамм,Gram,г,g,,0.001
M,KGM,Килограмм,Kilogram,кг,kg,+,1
M,TNE,Тонна,Ton,т,t,,1000, метрическая тонна (1000 кг)
M,DTN,Центнер,Hundredweight,ц,q,,100, (метрический) (100 кг);
M,GLL,Галлон,Gallon,гал,gal,,?
M,ONC,Унция,Ounce,унц,y,,?
M,BRR,Баррель,Barrel,барл,barl,,?


Экономические единицы
E,NBB,Бобина,Reel,боб.,reel
E,LEF,Лист,Sheet,л.,sht
E,SET,Набор,Set,набор,set
E,NPR,Пара,Pair,пар,pr,,, (2 шт.)
E,NPL,Посылка,Parcel,посыл,prcl
E,NPT,Часть,Part,часть,prt
E,NPL,Рулон,Roll,рул,roll
E,NCL,Элемент,Element,элем,CI
E,NMP,Упаковка,Packaging,упак,pack.
E,PCE,Штука,Thing,шт,pc
E,CEN,Сто штук,A hundred,100 шт,hundr.
E,MIL,Тысяча штук,A thousand pieces,тыс. шт,ths.hdr.
E,BX,Ящик,Box,ящ.,box
E,BTL,Бутылка,Bottle,бут.,botl.
E,MH,Человеко-час,Man-hour,чел.ч,man/h
E,MD,Человеко-день,Man-day,чел.дн,man/d
E,TKM,Тонно-километр,Tonne-km,т.км,tone/km
